node_id,x,y,demand,distance_to_depot
2,96.0,44.0,19,34.9285
3,50.0,5.0,21,77.8781
4,49.0,8.0,6,75.5844
5,13.0,7.0,19,97.5807
6,29.0,89.0,7,54.5711
7,58.0,30.0,12,51.8845
8,84.0,39.0,16,37.054
9,14.0,24.0,6,85.6037
10,2.0,39.0,16,88.1419
11,3.0,82.0,8,79.2275
12,5.0,10.0,14,101.415
13,98.0,52.0,21,28.8444
14,84.0,25.0,16,51.0392
15,61.0,59.0,3,27.0185
16,1.0,65.0,22,81.7435
17,88.0,51.0,18,25.7099
18,91.0,2.0,19,74.5453
19,19.0,32.0,1,76.844
20,93.0,3.0,24,73.8241
21,50.0,93.0,8,36.2353
22,98.0,14.0,12,64.0312
23,5.0,42.0,4,84.1724
24,42.0,9.0,8,78.032
25,61.0,62.0,24,25.2389
26,9.0,97.0,24,75.9605
27,80.0,55.0,2,21.095
28,57.0,69.0,20,25.9615
29,23.0,15.0,15,84.8646
30,20.0,70.0,2,62.2896
31,85.0,60.0,14,16.2788
32,98.0,5.0,9,72.7805
