node_id,x,y,demand,distance_to_depot,service_time,ready_time,due_time
2,33.0,27.0,16,66.2722,10,240,420
3,29.0,39.0,2,54.037,10,120,300
4,7.0,81.0,7,23.3238,10,30,180
5,1.0,59.0,11,42.8019,10,120,300
6,49.0,9.0,9,86.8332,10,240,420
7,21.0,53.0,17,40.4475,10,30,180
8,79.0,89.0,21,52.1536,10,120,300
9,81.0,83.0,23,54.9181,10,120,300
10,85.0,11.0,10,100.439,10,240,420
11,45.0,9.0,6,85.9069,10,240,420
12,7.0,65.0,19,34.4093,10,30,180
13,95.0,27.0,18,94.7629,10,240,420
14,81.0,85.0,20,54.5894,10,120,300
15,37.0,81.0,13,15.6205,10,30,180
16,69.0,69.0,5,48.3735,10,120,300
17,15.0,95.0,11,12.1655,10,30,180
18,89.0,75.0,24,64.56,10,240,420
19,33.0,93.0,2,6.0,10,30,180
20,57.0,83.0,3,31.6228,10,30,180
21,11.0,95.0,1,16.1245,10,30,180
22,3.0,57.0,5,43.2666,10,120,300
23,45.0,11.0,20,83.9524,10,240,420
24,43.0,61.0,23,35.7771,10,30,180
25,35.0,43.0,24,50.636,10,120,300
26,19.0,83.0,18,12.8062,10,30,180
27,83.0,69.0,19,60.9262,10,120,300
28,85.0,77.0,2,60.1664,10,120,300
29,19.0,39.0,17,54.5894,10,120,300
30,83.0,87.0,17,56.3205,10,120,300
31,1.0,13.0,9,84.119,10,240,420
32,15.0,39.0,11,55.3173,10,120,300
33,83.0,17.0,2,94.4034,10,240,420
34,41.0,97.0,6,14.5602,10,30,180
35,31.0,61.0,9,32.249,10,30,180
36,59.0,69.0,5,40.0,10,30,180
37,29.0,15.0,9,78.0256,10,240,420
38,93.0,83.0,2,66.7533,10,240,420
39,63.0,97.0,14,36.2215,10,30,180
40,65.0,57.0,19,52.345,10,120,300
41,15.0,69.0,11,26.8328,10,30,180
42,31.0,97.0,21,5.6569,10,30,180
43,57.0,9.0,20,89.1964,10,240,420
44,85.0,37.0,21,80.6226,10,240,420
45,21.0,29.0,18,64.2806,10,120,300
46,53.0,11.0,48,86.0233,10,240,420
47,15.0,77.0,1,20.0,10,30,180
48,41.0,69.0,17,27.7849,10,30,180
49,45.0,17.0,42,78.1025,10,240,420
50,13.0,25.0,2,69.4262,10,240,420
51,63.0,57.0,4,50.9117,10,120,300
52,95.0,5.0,24,111.2115,10,240,420
53,55.0,91.0,18,28.0713,10,30,180
54,3.0,31.0,21,66.4831,10,240,420
55,47.0,7.0,11,88.295,10,240,420
56,61.0,69.0,9,41.6173,10,120,300
57,85.0,35.0,18,82.0244,10,240,420
58,89.0,81.0,22,63.1506,10,120,300
59,45.0,47.0,9,49.3964,10,120,300
60,65.0,93.0,23,38.0,10,30,180
