node_id,x,y,demand,distance_to_depot,service_time,ready_time,due_time
2,9.0,23.0,2,54.231,10,240,420
3,84.0,68.0,1,34.6554,10,120,300
4,36.0,93.0,6,54.1295,10,240,420
5,87.0,9.0,9,44.8219,10,120,300
6,34.0,16.0,16,37.5366,10,120,300
7,40.0,98.0,5,57.2451,10,240,420
8,72.0,43.0,3,13.0384,10,30,180
9,0.0,60.0,9,61.131,10,240,420
10,64.0,90.0,12,46.2709,10,120,300
11,11.0,8.0,1,60.0,10,240,420
12,46.0,7.0,1,39.2173,10,120,300
13,33.0,54.0,18,27.8568,10,30,180
14,23.0,84.0,10,53.8145,10,240,420
15,67.0,18.0,5,27.2029,10,30,180
16,34.0,93.0,5,55.0091,10,240,420
17,19.0,25.0,9,44.2832,10,120,300
18,14.0,9.0,16,57.0088,10,240,420
19,70.0,64.0,12,22.8254,10,30,180
20,58.0,50.0,6,6.0828,10,30,180
21,5.0,78.0,6,63.8122,10,240,420
22,95.0,39.0,20,36.3456,10,120,300
23,38.0,54.0,23,23.2594,10,30,180
24,50.0,73.0,39,30.3645,10,30,180
25,48.0,46.0,17,11.1803,10,30,180
26,64.0,4.0,8,40.3113,10,120,300
27,39.0,28.0,2,25.6125,10,30,180
28,79.0,30.0,13,24.4131,10,30,180
29,61.0,36.0,17,8.2462,10,30,180
30,28.0,50.0,3,31.5753,10,120,300
31,51.0,91.0,2,47.676,10,120,300
32,68.0,59.0,7,17.4929,10,30,180
33,14.0,9.0,23,57.0088,10,240,420
34,94.0,87.0,10,55.4437,10,240,420
35,68.0,29.0,7,17.4929,10,30,180
36,12.0,91.0,12,66.468,10,240,420
37,2.0,22.0,20,61.0983,10,240,420
38,25.0,16.0,13,44.0454,10,120,300
39,11.0,57.0,21,49.7293,10,240,420
40,3.0,51.0,25,56.4358,10,240,420
41,13.0,52.0,5,46.6905,10,120,300
42,9.0,76.0,4,59.3633,10,240,420
43,58.0,18.0,13,26.0192,10,30,180
44,40.0,39.0,12,19.6469,10,30,180
45,32.0,89.0,23,52.4786,10,240,420
46,9.0,92.0,19,69.3109,10,240,420
47,36.0,14.0,10,37.8021,10,120,300
48,82.0,13.0,7,38.6005,10,120,300
49,10.0,25.0,15,52.5547,10,240,420
50,96.0,97.0,5,64.6375,10,240,420
51,20.0,21.0,15,45.2769,10,120,300
52,40.0,91.0,13,50.6952,10,240,420
53,33.0,31.0,30,29.0689,10,30,180
54,72.0,74.0,15,32.6956,10,120,300
55,41.0,24.0,7,26.9072,10,30,180
56,90.0,20.0,9,39.2046,10,120,300
57,4.0,44.0,23,55.0,10,240,420
58,54.0,22.0,8,22.561,10,30,180
59,43.0,59.0,5,21.9317,10,30,180
60,3.0,70.0,8,61.7414,10,240,420
61,94.0,16.0,25,44.8219,10,120,300
62,94.0,54.0,12,36.4005,10,120,300
63,14.0,40.0,25,45.1774,10,120,300
64,37.0,0.0,24,49.1935,10,120,300
65,88.0,55.0,8,31.0161,10,30,180
66,80.0,25.0,22,28.3196,10,30,180
67,37.0,64.0,7,29.7321,10,30,180
68,87.0,47.0,24,28.1603,10,30,180
69,18.0,68.0,18,47.5079,10,120,300
