node_id,x,y,demand,distance_to_depot
2,9.0,23.0,2,54.231
3,84.0,68.0,1,34.6554
4,36.0,93.0,6,54.1295
5,87.0,9.0,9,44.8219
6,34.0,16.0,16,37.5366
7,40.0,98.0,5,57.2451
8,72.0,43.0,3,13.0384
9,0.0,60.0,9,61.131
10,64.0,90.0,12,46.2709
11,11.0,8.0,1,60.0
12,46.0,7.0,1,39.2173
13,33.0,54.0,18,27.8568
14,23.0,84.0,10,53.8145
15,67.0,18.0,5,27.2029
16,34.0,93.0,5,55.0091
17,19.0,25.0,9,44.2832
18,14.0,9.0,16,57.0088
19,70.0,64.0,12,22.8254
20,58.0,50.0,6,6.0828
21,5.0,78.0,6,63.8122
22,95.0,39.0,20,36.3456
23,38.0,54.0,23,23.2594
24,50.0,73.0,39,30.3645
25,48.0,46.0,17,11.1803
26,64.0,4.0,8,40.3113
27,39.0,28.0,2,25.6125
28,79.0,30.0,13,24.4131
29,61.0,36.0,17,8.2462
30,28.0,50.0,3,31.5753
31,51.0,91.0,2,47.676
32,68.0,59.0,7,17.4929
33,14.0,9.0,23,57.0088
34,94.0,87.0,10,55.4437
35,68.0,29.0,7,17.4929
36,12.0,91.0,12,66.468
37,2.0,22.0,20,61.0983
38,25.0,16.0,13,44.0454
39,11.0,57.0,21,49.7293
40,3.0,51.0,25,56.4358
41,13.0,52.0,5,46.6905
42,9.0,76.0,4,59.3633
43,58.0,18.0,13,26.0192
44,40.0,39.0,12,19.6469
45,32.0,89.0,23,52.4786
46,9.0,92.0,19,69.3109
47,36.0,14.0,10,37.8021
48,82.0,13.0,7,38.6005
49,10.0,25.0,15,52.5547
50,96.0,97.0,5,64.6375
51,20.0,21.0,15,45.2769
52,40.0,91.0,13,50.6952
53,33.0,31.0,30,29.0689
54,72.0,74.0,15,32.6956
55,41.0,24.0,7,26.9072
56,90.0,20.0,9,39.2046
57,4.0,44.0,23,55.0
58,54.0,22.0,8,22.561
59,43.0,59.0,5,21.9317
60,3.0,70.0,8,61.7414
61,94.0,16.0,25,44.8219
62,94.0,54.0,12,36.4005
63,14.0,40.0,25,45.1774
64,37.0,0.0,24,49.1935
65,88.0,55.0,8,31.0161
66,80.0,25.0,22,28.3196
67,37.0,64.0,7,29.7321
68,87.0,47.0,24,28.1603
69,18.0,68.0,18,47.5079
