node_id,x,y,demand,distance_to_depot
2,35.0,60.0,2,11.4018
3,79.0,46.0,12,57.5674
4,3.0,45.0,14,27.6586
5,42.0,50.0,2,22.2036
6,3.0,40.0,17,31.1448
7,29.0,96.0,20,33.3766
8,47.0,30.0,2,40.2244
9,54.0,77.0,26,33.1059
10,36.0,30.0,7,35.1141
11,83.0,86.0,24,63.3246
12,30.0,6.0,23,57.3149
13,55.0,29.0,13,46.0109
14,13.0,2.0,25,61.9839
15,1.0,19.0,20,49.6488
16,98.0,1.0,3,96.5401
17,75.0,10.0,18,73.5527
18,39.0,23.0,23,42.72
19,62.0,91.0,6,47.2017
20,96.0,9.0,2,90.0
21,27.0,87.0,13,24.1868
22,14.0,16.0,22,48.0521
23,52.0,49.0,3,31.305
24,95.0,21.0,6,82.4924
25,30.0,6.0,7,57.3149
26,18.0,40.0,1,23.7697
27,82.0,90.0,18,63.9766
28,50.0,79.0,18,30.5287
29,48.0,49.0,10,27.7849
30,82.0,73.0,2,58.8558
31,64.0,62.0,9,40.0125
32,34.0,78.0,10,18.0278
33,83.0,6.0,8,82.0366
34,3.0,77.0,30,25.2389
35,18.0,8.0,16,55.3263
36,53.0,86.0,23,37.0135
37,88.0,51.0,2,65.1153
38,77.0,51.0,18,54.3415
39,58.0,89.0,22,42.8019
40,12.0,44.0,1,22.4722
41,70.0,88.0,8,52.3546
42,36.0,17.0,4,47.5395
43,85.0,23.0,26,72.9452
44,93.0,30.0,21,76.4853
45,68.0,67.0,2,44.1814
46,71.0,34.0,15,55.2268
47,56.0,73.0,25,33.5261
48,37.0,37.0,22,29.0689
49,78.0,20.0,19,69.029
50,88.0,69.0,3,64.2806
51,95.0,42.0,3,74.0405
52,44.0,71.0,5,21.5407
53,18.0,1.0,13,62.2896
